state,year2020,year2022
Amazonas,12.275928691477773,73.03133633204035
Anzoátegui,37.06125943292219,63.175984719142996
Apure,0.0,36.742508095333335
Aragua,26.063487131796425,34.075774299895464
Barinas,65.26304619005161,94.88010545761287
Bolívar,90.0358533893788,85.38432979717089
Carabobo,62.75666953142836,86.30777105281103
Cojedes,4.9920632177337225,33.86076927833776
Delta Amacuro,15.868217938481427,0.0
Distrito Capital,100.0,0.7499171322702701
Falcón,94.57545918675332,82.38346303640466
Guárico,6.632847653962306,58.6617342462532
Lara,79.22271635615574,66.25556064403708
Miranda,43.39546558260983,48.53666732134871
Monagas,63.397918704040954,60.47410532151092
Mérida,71.05946175436941,84.72287504000732
Nueva Esparta,35.2491624625416,36.597376066619766
Portuguesa,25.03607793394165,60.79840881328532
Sucre,55.87846894792558,40.86990592168897
Trujillo,22.143582931716647,62.06887042009279
Táchira,37.08389616399635,22.587900298720882
Vargas,100.0,0.0
Yaracuy,73.48793656485965,37.32198351574112
Zulia,54.31334524487282,52.87261544843852
